rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
10182,NA,,html-button-delay-response,3,28254,0.0-3.0,cavvpzo7gs,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.3,teaching,The green circle,,
7990,NA,,html-button-delay-response,4,36747,0.0-4.0,cavvpzo7gs,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug4'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.4,teaching,The green circle,,
6237,NA,,html-button-delay-response,5,43488,0.0-5.0,cavvpzo7gs,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug1'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.1,teaching,The green circle,,
14205,NA,break,html-button-response,6,58195,0.0-6.0,cavvpzo7gs,no training,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>!</p> <p style='text-align:center'> You will see two animations but only one of them is visible, the other hidden.  Your task is to decide whether the sentence you will see describes the visible animation or the hidden animation. You should choose the hidden scenario if you consider the visible one inappropriate given the sentence you will see. </p>",0,,,,,
9865,NA,,html-button-delay-response,7,68062,0.0-7.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug3b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.3,testing,The green circle,does not wug.,notAB
5887,NA,,html-button-delay-response,8,74451,0.0-8.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.1,testing,The green circle,does not wug.,AB
9399,NA,,html-button-delay-response,9,84355,0.0-9.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.4,testing,The green circle,wugs.,notAB
4243,NA,,html-button-delay-response,10,89104,0.0-10.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug2'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.2,testing,The green circle,wugs.,AB
7142,NA,,html-button-delay-response,11,96748,0.0-11.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot4'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.8,testing,The green circle,does not wug.,AnotB
4582,NA,,html-button-delay-response,12,101831,0.0-12.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.12,testing,The green circle,does not wug.,notAnotB
3903,NA,,html-button-delay-response,13,106243,0.0-13.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot3a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.10,testing,The green circle,does not wug.,notAnotB
10521,NA,,html-button-delay-response,14,117265,0.0-14.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot2'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.5,testing,The green circle,wugs.,AnotB
3283,NA,,html-button-delay-response,15,121053,0.0-15.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.7,testing,The green circle,wugs.,AnotB
